Title,Actual Price,Description,Available Colors
J. Ferrar Mens Slim Fit Tuxedo Jacket,$85,"Dress for a formal occasion by finishing your look with this men's slim-fit tuxedo jacket from J. Ferrar. It's tailored in a single-breasted design from a smooth twill with a shawl collar, multiple pockets, finished with a contrast satin trim. Pair it with a crisp button-down, pants, and patent oxfords.
Front Style: Single Breasted
Features: Stretch Fabric, Piped
Closure Type: Button
Fit: Slim Fit
Pockets: 1 Inside Button Pocket, 2 Front Slip Pockets, 1 Chest Slip Pocket
Sleeve Length: Long Sleeve
Sleeve Style: Vent Sleeve
Apparel Length: 32 Inches
Fiber Content: 83% Polyester, 15% Rayon, 2% Spandex","""Ivory"" "
adidas Mens Big and Tall Mid Rise Cuffed Pull-On Pants,$37.50,"This sleek pair of adidas men's pull-on pants will add gravitas to off-duty days. Made from 100% recycled fabric, these mid-rise pants have a flat front elastic-drawstring waist, side pockets, and a straight-leg silhouette. Team it with a graphic tee and a hoodie.
Front Style: Flat Front
Features: Drawstring, Drawstring Waist
Closure Type: Full Elastic, Drawstring
Fit: Regular Fit
Pockets: 2 Side Slip Pockets
Rise: Mid Rise
Fiber Content: 100% Recycled Polyester
Fabric Description: Plain Woven
Inseam: 29 3/4 In
Leg Style: Cuffed Leg
Care: Machine Wash, Tumble Dry","""Black"" "
Deer Stags Mens Bamboo 2 Huarache Sandals,$75,"Features: Cushioned
Closure Type: Hook & Loop Tape
Shoe Heel Height: 1 Inch
Upper/Outer Base Material: 100% Leather
Shoe Lining Material: Synthetic
Sole Material Content: 100% Rubber
Toe Type: Peep Toe
Shoe Strap Type: Adjustable Strap
Heel Style: Flat Heel
Country of Origin: Imported","""Black"" "
Stafford Mens Slim Striped Slim Fit Suit Jacket,$220,"This slim striped suit jacket by Stafford offers an ultra-stylish look for any dressy social occasion. This men's lined double-breasted style is cut for a classic-fit from a woven blend and features peak lapels with multiple pockets and button closures. Team it with the matching pair of suit pants.
Front Style: Double Breasted
Closure Type: Button
Fit: Slim Fit
Pockets: 2 Front Flap Pockets, 1 Chest Slip Pocket, 1 Inside Button Pocket, 1 Inside Slip Pocket
Sleeve Length: Long Sleeve
Fiber Content: 70% Tencel Lyocell, 18% Linen, 12% Cotton
Fabric Description: Woven
Lining: Lined
Lining Material: Polyester","""Tan Stripe"" "
Stafford Mens Reversible Belt,$34,"This Stafford men's reversible belt is a versatile yet stylish essential to have in your wardrobe. Made from smooth faux leather with a polished finish, this belt can be worn on either side and has a large silver-tone buckle. Wear it with jeans and a shirt.
Features: Reversible
Base Material: 100% Bonded Leather
Fabric Description: Faux Leather
Care: Wipe Clean
Country of Origin: Imported","""Black Brown"" "
Big and Tall Mens Crew Neck Short Sleeve Regular Fit Graphic T-Shirt,$19.99,"Dust off the leather pants, grab the vinyl records, and apply the face paint while wearing this officially licensed KISS Men's Big & Tall Crew Neck Short Sleeve Regular Fit Charcoal Heather Graphic T-Shirt! Your favorite classic metal band, KISS, is celebrated on this rocker tee that shows off Gene Simmons, Paul Stanley, Peter Criss, and Ace Frehley in face paint encircled by the iconic quote ""Rock and Roll All Nite"" on the front.
Closure Type: Pullover Head
Fit: Regular Fit
Neckline: Crew Neck
Sleeve Length: Short Sleeve
Fiber Content: 50% Polyester, 50% Cotton
Fabric Description: Jersey
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""Charcoal Heather"" "
Arizona Mens V Neck Short Sleeve T-Shirt,$9.99,"Deemed a Gotta-Have-It item for value you can count on every day!
Closure Type: Pullover Head
Fit: Regular Fit
Neckline: V Neck
Sleeve Length: Short Sleeve
Apparel Length: 28.5 Inches
Fiber Content: 60% Cotton, 40% Recycled Polyester
Fabric Description: Jersey
Care: Tumble Dry, Machine Wash
Country of Origin: Imported","""French Bread"" , ""Kidney Bean"" , ""Navy Shadow"" , ""Smoked Pearl"" "
New!mutual weave Mens Slim Fit Jean,$29.99,"Features: Fly Front, Stretch Fabric
Closure Type: Zipper, Button
Pockets: 1 Front Coin Pocket, 2 Front Slip Pockets, 2 Back Slip Pockets
Rise: Mid Rise
Fiber Content: 99% Cotton, 1% Lycra Spandex
Fabric Description: Twill
Inseam: 32 In
Care: Tumble Dry, Machine Wash
Jean Style: Slim Fit Jeans
Country of Origin: Imported","""Heritage Khaki"" "
New!adidas Big and Tall Mens Crew Neck Short Sleeve Graphic T-Shirt,$22.50,"The gifted and loyal girl, eleven, from the popular netflix series, stranger things, is here in costume form for you! Our classic eleven season 4 classic costume includes a colorful striped dress that appears to be a jumper and blouse, but is made all in one piece! Socks and shoes are sold separately.
Closure Type: Pullover Head
Fit: Regular Fit
Neckline: Crew Neck
Sleeve Length: Short Sleeve
Apparel Length: 29 Inches
Fiber Content: 100% Cotton
Fabric Description: Jersey
Care: Tumble Dry
Country of Origin: Imported","""Linen Green"" , ""Black"" "
Jockey Active Microfiber Mens 3 Pack Boxer Briefs,$36,"For an eco-friendly twist on a comfy favorite, try the Jockey® Active Microfiber Eco Boxer Brief. Made with recycled polyester, this lightweight underwear is not only stretchy and smooth, but boasts 90% recycled polyester for fabric that feels good and does good for the planet. This pair features moisture-wicking fabric to help keep you cool and dry while antimicrobial fabric helps fight odor. Plus, it's been enhanced with StayNew® technology to keep it looking and feeling new, wash after wash. The keyhole fly adds convenience while the tag-free design offers all-day comfort.
# Pieces In Set: 3-Pack
Features: Odor Resistant, Moisture Wicking, Multi-Pack, Stretch Fabric, Tag Free, Fly Front, Antimicrobial, Comfort Waistband, Quick Dry, Cooling
Fiber Content: 90% Polyester, 10% Spandex
Fabric Description: Knit","""Blue Camo"" , ""Black"" "
