Title,Actual Price,Description,Available Colors
St. John's Bay Madras Big and Tall Mens Classic Fit Short Sleeve Plaid Button-Down Shirt,$29.99,"For a smart warm-weather essential, try this St John's Bay men's big and tall madras plaid shirt. Made from a cotton-linen blend, this button-down has a classic-fit with a spread collar, short sleeves, and a chest pocket. Wear it with chinos and boat shoes.
Closure Type: Button
Fit: Classic Fit
Neckline: Collar Neck
Pockets: 1 Chest Slip Pocket
Sleeve Length: Short Sleeve
Apparel Length: 31 Inches - Back
Fiber Content: 67% Cotton, 30% Linen, 3% Tencel Lyocell
Fabric Description: Woven
Collar: Spread Collar
Care: Tumble Dry, Machine Wash
Country of Origin: Imported","""Turq Peach Madras"" , ""White Aqua Madras"" , ""Blue Peach Madras"" "
Haggar® Mens Iron Free Slim Fit Flat Front Pant,$70,"This comfortable casual pant is sure to be a staple in your wardrobe! The stretch in the pant fibers along with the stretch in the waistband, make this the winning pant! The slim fit is slim on the leg and thigh for a modern look and feel. The added benefit of the shirt gripper allows for a secure fit to last all day.
Front Style: Flat Front
Features: Stretch Fabric, Expandable Waist, Non-Iron, Shirt Gripper Waistband
Closure Type: Button
Fit: Slim Fit
Pockets: 2 Front Slip Pockets, 2 Back Slip Pockets
Rise: At Waist
Fiber Content: 59% Cotton, 39% Polyester, 2% Spandex
Fabric Description: Woven
Lining: Unlined","""Heather Grey"" , ""Black"" , ""Indigo"" , ""Med Khaki"" "
Dockers Signature Iron Free Khaki With Stain Defender Mens Big and Tall Classic Fit Flat Front Pant,$66,"We call them our signature for a reason. Our signature khakis are the pants you know us for, with iron free technology, added stretch and a flex comfort waistband™ so you look and feel good at all times. We made this pair with our new stain defender — a more sustainable, pfc-free way to protect from stains — and finished it off with our suite of water<less® techniques. 
The best-in-class khaki we're known for this fit is straight and relaxed — but never baggy. 
our big & tall sizes feature extended waists, deeper front pockets, back pockets up to half an inch wider for sizes 46 and up, longer inseams for tall sizes and a knee that's positioned correctly.
Front Style: Flat Front
Features: Fly Front, Stain Resistant, Wrinkle Resistant, Comfort Waistband, Stretch Fabric, Non-Iron
Closure Type: Button & Zipper","""Navy Blazer"" , ""Beautiful Black"" , ""Cloud"" , ""Steelhead"" , ""New British Khaki"" "
IZOD Saltwater Big and Tall Mens Crew Neck Short Sleeve Classic Fit Graphic T-Shirt,$19.99,"Made from seriously soft cotton jersey in a worn-in wash, our short sleeve, vintage-style graphic tee will add a laidback layer to your look thanks to that had-it-forever feel.
Closure Type: Pullover Head
Fit: Classic Fit
Neckline: Crew Neck
Sleeve Length: Short Sleeve
Fiber Content: 60% Cotton, 40% Polyester
Fabric Description: Jersey
Care: Tumble Dry, Machine Wash
Country of Origin: Imported","""Saltwater Crab"" , ""Dog Wag Beach"" , ""Cool Swell"" , ""Toucan Tropics"" , ""Stars Stripes"" "
adidas 6 Pair Quarter Socks Mens,$16.50,"Keep your feet dry and cushioned in these adidas® quarter athletic socks with rib-knit cuffs. 
# Pieces In Set: 6 Pair
Features: Cushioned, Cuffed, Reinforced Heel Support, Stretch Fabric, Moisture Wicking, Compression
Shoe Size Range: 6-12
Fiber Content: 98% Polyester, 2% Spandex
Fabric Description: Woven
Care: Tumble Dry, Machine Wash
Country of Origin: Imported","""White"" , ""Black"" , ""Gray"" "
Hanes Sport X-Temp Air Mesh Mens 4 Pack Long Leg Boxer Briefs,$40,"For your next workout - or days that just feel like one long workout - try Hanes® Sport® X-Temp ultra-light mesh boxer briefs for light, lightweight comfort. Made of airy stretch mesh, they're made with X-Temp™ technology - designed to adapt to your temperature for all-day comfort. Sleek and sexy with a longer leg, this performance underwear is made with four-way stretch fabric that moves effortlessly with you. Even better, boxer briefs use Hanes® FreshIQ™ advanced odor protection technology that fights odor-causing bacteria for all-day freshness. They even have a smooth, moisture-wicking logo waistband for even more comfort at your middle. You'll also appreciate the no-ride-up leg bands and the tagless, itch-less styling. These airy mesh performance boxer briefs are available in a convenient 4-pack of assorted solid colors, making it easy to stock up.
# Pieces In Set: 4-Pack
Features: Breathable, Moisture Wicking, Multi-Pack, Tag Free, Stretch Fabric, Odor Resistant, Fly Front, Regulate Temperature, Cooling, Comfort Waistband, Antimicrobial, Long Leg","""Black Gray Navy"" "
New!Shaquille O'Neal XLG Big and Tall Mens Short Sleeve Button Front Sweater,$37.99,"Closure Type: Button
Fit: Classic Fit
Sleeve Length: Short Sleeve
Fiber Content: 60% Cotton, 40% Acrylic
Care: Machine Wash, Dry Flat
Country of Origin: Imported","""Black"" , ""Bahama Sand"" "
Stafford Coolmax All Season Ecomade Mens Big and Tall Stretch Fabric Classic Fit Suit Pants,$130,"Constructed with Stafford's Coolmax technology, this pair of men's big and tall suit pants will keep you cool and comfortable throughout the seasons. This timeless tailored straight-leg pant is made from a stretch wool-blend in a classic-fit and features a hook-and-eye with zip closure, an adjustable waist, and side and back pockets. Wear with the matching suit jacket for a complete look.
Front Style: Flat Front
Features: Stretch Fabric, Fly Front, Adjustable Waist, Lined
Closure Type: Button W/Hook&eye, Zipper
Fit: Classic Fit
Pockets: 2 Side Slip Pockets, 2 Back Button Pockets
Rise: At Waist
Fiber Content: 51% Wool, 47% Polyester, 2% Spandex
Fabric Description: Woven
Lining: Partially Lined","""Navy"" "
Haggar® eCLo™ Stria Classic Fit Flat Front Dress Pants,$70,"Haggar's E-CLO™ Dress Pant, make looking great incredibly easy. Who would have thought a fabric that looks and feels this good could be machine washable. Knowing they're made from recycled water bottles will make you feel good. The hidden expandable waistband will make you feel even better.
Front Style: Flat Front
Features: Stretch Fabric, Hidden Expandable Waistband expands up to 3"", No Iron, Permanent Crease
Closure Type: Extended button tab at waist with zipper
Pockets: 2 off seam front pockets, 2 single welt back pockets
Fit: Classic
Rise: At Waist
Fabric Content: 77% Polyester, 23% Recycled Polyester
Fabric Description: Woven
Inseam: 29 In, 30 In, 31 In, 32 In, 34 In","""Blue"" , ""Navy"" , ""Black"" , ""Brown"" , ""Medium Grey"" , ""Taupe"" "
New!Xersion Mens Workout Shorts,$20.99,"Whether you're heading to the gym or have an active day ahead of you, these Xersion men's workout shorts have you covered. They're made from a stretch fabric and feature a regular-fit, a flat front, an elastic waist, a 9-inch inseam, two front slip pockets, and a back slip pocket to hold your essentials when you're on the go.
Front Style: Flat Front
Features: Stretch Fabric
Closure Type: Drawstring, Full Elastic
Fit: Regular Fit
Pockets: 1 Back Slip Pocket, 2 Front Slip Pockets
Rise: At Waist
Short Length: Short Length
Fiber Content: 87% Polyester, 13% Spandex
Fabric Description: Plain Weave
Inseam: 9 In","""Heritage Khaki"" , ""Black"" , ""Leisure Green"" "
