Title,Actual Price,Description,Available Colors
IZOD Breeze Mens Classic Fit Short Sleeve Button-Down Shirt,$34.99,"Casually cool and completely comfortable. With an athletic cut in a lightweight cotton blend that’s both cooling and breathable, this short sleeve, button down wears makes warm weather styling a breeze.
Features: Stretch Fabric, Easy Care
Closure Type: Button
Fit: Classic Fit
Neckline: Collar Neck
Pockets: 1 Chest Slip Pocket
Sleeve Length: Short Sleeve
Fiber Content: 55% Cotton, 45% Polyester
Fabric Description: Woven
Collar: Button Down Collar
Care: Tumble Dry, Machine Wash
Country of Origin: Imported","""Ice Green"" , ""Medieval Blue"" , ""Rapture Rose"" , ""Bachelor Button"" , ""Bright White"" , ""Fairy Tale"" "
Levi's® Men's Ace Cargo Pants,$59.99,"Easy and versatile, our ace cargo pants keep it simple with a low rise, a relaxed fit and utilitarian style.
Front Style: Flat Front
Features: Fly Front
Closure Type: Button & Zipper
Fit: Regular Fit
Pockets: 2 Front Slip Pockets, 2 Back Button Pockets, 2 Cargo Side Pockets
Rise: At Waist
Base Material: 100% Cotton
Fiber Content: 100% Cotton
Inseam: 34 In, 30 In, 29 In, 32 In
Leg Style: Straight Leg
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""British Khaki"" , ""Loden Green"" , ""Phalarope Camo"" "
Stafford Mens Classic Fit Sport Coat,$80,"This Stafford men's sport coat is a stylish classic that you'll wear season after season. Cut for a classic-fit from a woven linen-cotton blend, this lined single-breasted style has multiple pockets, sharp notch lapels, and a two-button closure. Pair it with suit pants and a dress shirt.
Front Style: Single Breasted
Closure Type: Button
Fit: Classic Fit
Pockets: 2 Front Slip Pockets, 1 Chest Slip Pocket, 1 Inside Slip Pocket, 1 Inside Button Pocket
Sleeve Length: Long Sleeve
Sleeve Style: Vent Sleeve
Fiber Content: 55% Linen, 45% Cotton
Fabric Description: Herringbone, Twill
Lining: Fully Lined
Lining Material: Polyester","""Brown"" "
New!Arizona Big and Tall Mens Short Sleeve Classic Fit Henley Shirt,$19.99,"Closure Type: Pullover Head
Fit: Classic Fit
Neckline: Henley Neck
Sleeve Length: Short Sleeve
Apparel Length: 28.5 Inches
Fiber Content: 100% Cotton
Fabric Description: Jersey
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""Ombre Blue"" "
Stafford Coolmax Oxford Mens Regular Fit Long Sleeve Plaid Button-Down Shirt,$44.99,"Deemed a Gotta-Have-It item for value you can count on every day! Style and performance meet in this Stafford Coolmax men's plaid oxford shirt. This long-sleeve button-down is cut for a regular-fit from a recycled cotton-blend and it has a chest pocket. Team it with a pair of suit pants.
Closure Type: Button
Fit: Regular Fit
Neckline: Collar Neck
Pockets: 1 Chest Slip Pocket
Sleeve Length: Long Sleeve
Sleeve Style: Cuffed Sleeve
Apparel Length: 32 Inches
Fiber Content: 60% Cotton, 40% Recycled Polyester
Fabric Description: Oxford
Collar: Button Down Collar","""Blue Tan Plaid"" "
Shaquille O'Neal XLG Easycare Big and Tall Mens Regular Fit Long Sleeve Button-Down Shirt,$39.99,"Crafted from a soft, woven stretch-cotton, this subtle printed men's button-down shirt from the Shaquille O'Neal XLG big and tall collection is an effortless style staple to wear with jeans or chinos. It's cut for a regular-fit with a spread collar and long sleeves.
Features: Stretch Fabric
Closure Type: Button
Fit: Regular Fit
Neckline: Collar Neck
Sleeve Length: Long Sleeve
Fiber Content: 57% Cotton, 40% Polyester, 3% Spandex
Fabric Description: Woven
Care: Tumble Dry, Machine Wash
Country of Origin: Imported","""Blue Paisley"" , ""Black Sportif Prt"" "
Hanes Ultimate Comfort Flex Fit Total Support Pouch Bonus Pack Mens 5 Pack Long Leg Boxer Briefs,$42,"Soft, stretchy, and packed with performance features, these hanes ultimate® men's boxer briefs might just become your new go-to. You'll especially appreciate the total support pouch® - a breathable mesh liner that separates, supports, and helps prevent chafing - as well as the no-ride-up leg bands. Soft and stretchable comfort flex fit® fabric moves with you and wicks moisture from your skin - so you stay cool and comfortable. Odor protection technology does its part to keep you feeling fresh. Available in a convenient 4+1 bonus pack of men's boxer brief underwear for stock-up ease. 
# Pieces In Set: 5-Pack
Features: Comfort Waistband, Bonus Packs, Moisture Wicking, Long Leg, Breathable, Support Pouch
Closure Type: Elastic
Fiber Content: 76% Polyester, 19% Tencel Lyocell, 5% Spandex
Fabric Description: Knit","""Black Gray"" "
mutual weave Pique Mens Regular Fit Short Sleeve Pocket Polo Shirt,$28,"Stay stylish and comfortable in this mutual weave men's pique short-sleeve polo shirt. Made from a blend of cotton and recycled fabric, the shirt features a regular-fit, a spread collar, a button closure, and a chest slip pocket. Wear it with jeans and sneakers for an everyday look or shorts and slides on warmer days.
Closure Type: Button, Pullover Head
Fit: Regular Fit
Neckline: Collar Neck
Pockets: 1 Chest Slip Pocket
Sleeve Length: Short Sleeve
Apparel Length: 28.5 Inches - Front
Fiber Content: 60% Cotton, 40% Recycled Polyester
Fabric Description: Pique
Collar: Spread Collar
Care: Tumble Dry, Machine Wash","""Hydro Teal Slub"" , ""Oatmeal Htr Slub"" , ""Dusty Blush Slub"" , ""Mustard Gold Slub"" "
J. Ferrar Mens Short Sleeve Camp Shirt,$24.99,"Stay on trend with this printed camp shirt from J. Ferrar's men's collection. This vintage-style short-sleeve shirt is made from a linen-cotton blend with notch lapels and a button-front closure. Wear this versatile shirt with chino shorts or denim.
Closure Type: Button
Fit: Regular Fit
Neckline: Collar Neck
Sleeve Length: Short Sleeve
Apparel Length: 29.5 Inches
Fiber Content: 55% Linen, 45% Cotton
Fabric Description: Plain Weave
Collar: Notch Lapel
Care: Tumble Dry, Machine Wash
Country of Origin: Imported","""Tan Tonal Block"" , ""Coral Dip Dye"" , ""Blue Dia Geo"" "
IZOD Advantage Performance Big and Tall Mens Classic Fit Cooling Short Sleeve Polo Shirt,$32.99,"It’s the own-it-in-every-color timeless polo that combines comfort, quality and fit. Crafted from a naturally stretchy and cooling fabric that pulls moisture from the skin, this short sleeve classic also has UV-15 technology that protects against the sun. In an assortment of rich colors and muted shades, the Advantage Performance Polo has a two-button placket, subtly darker trim and a roll-resistant collar for added ease.
Features: Roll Resistant Collar, Uv Protection, Cooling, Moisture Wicking, Stretch Fabric
Closure Type: Pullover Head, Button
Fit: Classic Fit
Neckline: Collar Neck
Sleeve Length: Short Sleeve
Fiber Content: 60% Cotton, 40% Polyester
Fabric Description: Knit","""Green Spruce"" , ""Dewberry"" , ""Pastel Yellow"" "
