Title,Actual Price,Description,Available Colors
Dockers Workday Khaki With Smart 360 Flex Mens Slim Fit Flat Front Pant,$49.99,"A khaki that works anytime, anywhere — we crafted our Workday Khakis with our famous four-way stretch and wrinkle-free technology so they work for your lifestyle. Our slim fit is just the right amount of slim with a slim leg opening. Our slim fit is just the right amount of slim with a slim leg opening.
Front Style: Flat Front
Features: Wrinkle Resistant, Stretch Fabric, Wrinkle Free
Closure Type: Button & Zipper
Fit: Slim Fit
Pockets: 1 Back Button Pocket, 1 Back Slip Pocket, 2 Side Slip Pockets
Rise: Mid Rise
Fiber Content: 94% Cotton, 6% Elastane
Fabric Description: Woven
Inseam: 29 In, 28 In, 30 In, 32 In, 34 In","""Pembroke"" , ""Burma Grey"" , ""Black"" , ""New British Khaki"" , ""Storm"" , ""Dark Pebble"" , ""Safari Beige"" "
J. Ferrar Mens Slim Slim Fit Suit Jacket,$129.99,"Made from a woven stretch-blend with recycled fabric and wrinkle-resistant technology, this men's single-breasted suit jacket from J. Ferrar is tailored to keep you comfortable and sharp. It's cut for a classic-fit with notch lapels, multiple pockets, and side vents. Wear it with suit pants for a tailored look.
Front Style: Single Breasted
Features: Wrinkle Resistant, Stretch Fabric
Closure Type: Button
Fit: Slim Fit
Pockets: 1 Chest Slip Pocket, 1 Inside Cell Phone Pocket, 1 Inside Button Pocket, 2 Front Flap Pockets
Sleeve Length: Long Sleeve
Fiber Content: 44% Polyester, 30% Recycled Polyester, 19% Rayon, 7% Spandex
Fabric Description: Woven","""Cool Gray"" "
St. John's Bay Stretch Chino Mens Straight Fit Flat Front Pant,$52,"Look professional while being comfortable in this pair of men's straight-leg chinos from St. John's Bay. They are crafted from a stretch-cotton twill with a button-zip fly and side and back pockets. Style them with everything from a t-shirt with sneakers to a button-down and oxford shoes.
Front Style: Flat Front
Features: Fly Front, Stretch Fabric
Closure Type: Button & Zipper
Fit: Straight Fit
Pockets: 2 Back Button Pockets, 2 Front Slip Pockets
Rise: At Waist
Fiber Content: 90% Cotton, 8% Lycra Spandex, 2% Spandex
Fabric Description: Twill, Chino
Inseam: 34 In, 32 In, 30 In
Leg Style: Straight Leg","""British Khaki"" , ""Executive Gray"" , ""Signature Navy"" , ""Classic Stone"" , ""Laguna Teal"" "
U.S. Polo Assn. Big and Tall Mens Regular Fit Short Sleeve Polo Shirt,$50,"This U.S. Polo Assn. men's big and tall short-sleeve polo shirt is the perfect staple for all your sporting and leisure activities. It's spun from soft cotton-knit with quick-dry and moisture-wicking properties to keep you dry and comfortable on the go and has a classic spread collar and button closure, complete with the brand's logo embroidered at the front. Team it with shorts or jeans.
Features: Moisture Wicking, Quick Dry, Embroidered, Stretch Fabric
Closure Type: Button
Fit: Regular Fit
Neckline: Collar Neck
Sleeve Length: Short Sleeve
Fiber Content: 60% Cotton, 40% Polyester
Fabric Description: Knit
Collar: Spread Collar
Care: Machine Wash, Tumble Dry","""Classic Navy"" , ""Black"" , ""Engine Red"" , ""White"" , ""Heather Dark Gray"" "
Haggar® Mens Premium Comfort Classic Fit Flat Front Dress Pant,$70,"There is no shortage of comfort here! The hidden expandable waistband in this classic fit flat front pant stretches up to 3"" so you will look and feel your best all day! Thoughtfully designed with comfort and sustainability in mind. Fabric elements consist of 78% Polyester, 22% Recycled Polyester. Haggar uses Repreve® (a brand of recycled polyester supplied by Unifi), made from collecting and melting down post-consumer plastic water bottles and turning them into new fibers.
Features: 4-Way Stretch Fabric, Hidden Comfort Waistband expands up to 3"" with shirt gripper, No Iron, Permanent Crease
Fabric Content: 100% Polyester (78% Polyester, 22% Recycled Polyester with EXS)
Blind Hem
Front Style: Flat Front
Features: Easy Care, Expandable Waist, Stretch Fabric, Shirt Gripper Waistband","""Black"" , ""Charcoal"" , ""Blue"" , ""Dark Chocolate"" , ""Lt Grey"" , ""Mocha"" , ""Stone"" "
Stafford Mens Classic Fit Sport Coat,$79.99,"This Stafford men's sport coat is a stylish upgrade for warm-weather functions and events. Cut for a classic-fit from a woven stretch-cotton twill, this partially lined coat has multiple pockets, sharp notch lapels, and a two-button closure. Pair it with suit pants and a dress shirt.
Closure Type: Button
Fit: Classic Fit
Pockets: 2 Front Slip Pockets, 1 Chest Slip Pocket, 1 Inside Button Pocket
Sleeve Length: Long Sleeve
Sleeve Style: Vent Sleeve
Apparel Length: 30 Inches
Fiber Content: 98% Cotton, 2% Spandex
Fabric Description: Twill
Lining: Partially Lined
Lining Material: Polyester","""Khaki"" , ""Indigo"" "
Xersion EverAir Mens Crew Neck Short Sleeve T-Shirt Big and Tall,$30,"Mix up your workout staples with this Xersion EverAir ® men's big and tall short-sleeve t-shirt. Crafted from a breathable recycled mesh blend that will keep you cool and comfortable thanks to its moisture-wicking QuickDri technology and 4-way stretch, this pullover tee is cut for a regular-fit with a crew neckline. Wear it with shorts or pants.
Features: Breathable, Moisture Wicking, Quick Dry
Closure Type: Pullover Head
Fit: Regular Fit
Neckline: Crew Neck
Sleeve Length: Short Sleeve
Apparel Length: 32 Inches
Fiber Content: 56% Polyester, 44% Recycled Polyester
Fabric Description: Mesh
Care: Machine Wash, Tumble Dry
Certifications And Listings: Everair","""Black Heather"" , ""Gray Heather"" , ""Burgundy Passion"" , ""Strong Blue Htr"" , ""Evergreen Htr"" , ""Historic Navy"" , ""Cabaret Red Htr"" , ""Signature Navy"" , ""Sea Moss"" , ""Peaceful Blue"" "
Arizona Mens Advance Flex 360 Slim Fit Jean,$29.99,"Deemed a Gotta-Have-It item for value you can count on every day! The Arizona Advance Flex 360 men's jeans are designed to move with your everyday lifestyle. This go-to pair is crafted from soft denim with recycled fabric- so you can look good while doing good for the earth. Their cut in a slim-fit that's slim through the hip and thigh with the right amount of stretch for all-day comfort, and they feature classic button-zip fly and 5-pocket tailoring- perfect for your essentials.
Features: Fly Front, Ripped, Stretch Fabric
Closure Type: Button & Zipper
Pockets: 2 Front Slip Pockets, 1 Front Coin Pocket, 2 Back Slip Pockets
Rise: At Waist
Fiber Content: 71% Cotton, 19% Repreve Recycled Polyester, 8% Rayon, 2% Spandex
Fabric Description: Denim","""Md Intense Sanding"" , ""Dk 3d Blue"" , ""Gray Heritage"" "
St. John's Bay Hiking Mens Big and Tall Stretch Fabric Cargo Short,$29.99,"For an adventurous trip or a casual day, pull on this pair of cargo hiking shorts from St. John's Bay men's big and tall collection. They are made from a stretch-cotton twill with a button-zip fly and utility-style pocketing.
Front Style: Flat Front
Features: Fly Front, Stretch Fabric
Closure Type: Button, Zipper
Fit: Regular Fit
Pockets: 2 Cargo Side Pockets, 2 Back Flap Pockets, 2 Front Slip Pockets
Rise: Mid Rise
Short Length: Long Length
Fiber Content: 100% Cotton
Fabric Description: Twill
Inseam: 11 In, 10 In","""Burnt Olive"" , ""British Khaki"" , ""Dark Charcoal"" , ""Classic Stone"" "
Xersion Activated Cooling Big and Tall Mens Short Sleeve Polo Shirt,$35,"Keep cool and tailored through busy days wearing this Xersion Activated Cooling polo shirt from their men's big and tall collection. Its recycled, quick-dry, stretch-jersey fabric keeps you comfortable and sweat-free and the spread collar, raglan short sleeves, and classic button placket offers a relaxed-fit for all-day comfort.
Features: Quick Dry
Closure Type: Button, Pullover Head
Fit: Regular Fit
Neckline: Collar Neck
Sleeve Length: Short Sleeve
Sleeve Style: Raglan Sleeve
Apparel Length: 34 Inches
Fiber Content: 75% Recycled Polyester, 15% Polyester, 10% Spandex
Fabric Description: Jersey
Collar: Spread Collar","""Green Melange"" , ""Teal Print"" , ""Gray Melange"" , ""Black"" "
