Title,Actual Price,Description,Available Colors
Van Heusen Ultra Flex Mens Regular Fit Wrinkle Free Long Sleeve Dress Shirt,$65,"Deemed a Gotta-Have-It item for value you can count on every day! Tailor your day in style, starting at the top with this men's button-down long-sleeve shirt from Van Heusen's Ultra Flex collection. Cut for a regular-fit, it's made from a comfortable, wrinkle-free cotton stretch-blend with a classic spread collar, a chest pocket, and button cuffs. Wear it with jeans and chelsea boots.
Features: Wrinkle Resistant, Stretch Fabric, Wrinkle Free, Stretch Collar
Closure Type: Button
Fit: Regular Fit
Neckline: Collar Neck
Pockets: 1 Chest Slip Pocket
Sleeve Length: Long Sleeve
Sleeve Style: Cuffed Sleeve
Fiber Content: 55% Cotton, 44% Polyester, 1% Spandex","""Blue Frost"" , ""White"" , ""Black"" , ""Grey Mist"" "
Stafford Mens Classic Fit Flat Front Pant,$49.99,"This pair of Stafford men's pants will keep you polished and comfortable year-round. This timeless tailored straight-leg pant is made from a stretch cotton-twill in a classic-fit and features a flat front waist, a button-zip closure, and side and back pockets. Wear them with a button-down for a complete look.
Front Style: Flat Front
Features: Fly Front, Stretch Fabric
Closure Type: Zipper, Button W/Hook&eye
Fit: Classic Fit
Pockets: 2 Back Button Pockets, 2 Side Slip Pockets
Rise: Mid Rise
Fiber Content: 98% Cotton, 2% Spandex
Fabric Description: Twill
Lining: Unlined
Inseam: 32 In, 30 In","""Khaki"" , ""Black"" , ""Metropolitan Grey"" , ""Indigo"" "
PGA TOUR® Airflux Polo Shirt,$52,"Our Airflux polo fabric technology features an incredibly subtle, mesh design over our polo shirts that are barely noticeable, making them stylish and completely breathable. Add sun protection technology, and you’ve got a golf shirt that’ll take you from the start line to the 18th hole.
AirFlux™: innovative fabric construction for premium ventilation that keeps you cool
DriFlux: moisture absorption and control for a cooler, drier fit
Easy-care fabrication for minimal maintenance
SunFlux: UPF 15 year-round sun protection to shield your skin
Ribbed collar
Features: Breathable
Closure Type: Pullover Head
Fit: Regular Fit
Neckline: Collar Neck","""Classic Blue"" , ""Caviar"" , ""True Navy"" , ""Chili Pepper"" , ""Bright White"" , ""Asphalt"" , ""Pale Banana"" "
New!Shaquille O'Neal XLG Big and Tall Mens Regular Fit Short Sleeve Polo Shirt,$34.99,"Closure Type: Pullover Head, Button
Fit: Regular Fit
Neckline: Crew Neck
Sleeve Length: Short Sleeve
Sleeve Style: Fitted Sleeve
Apparel Length: 34 Inches - Front
Fiber Content: 65% Cotton, 35% Polyester
Fabric Description: Jacquard, Interlock
Care: Tumble Dry, Machine Wash
Country of Origin: Imported","""Cherry Fudge"" , ""Black"" "
St. John's Bay Big and Tall Mens V Neck Short Sleeve T-Shirt,$25,"Add an everyday essential to your wardrobe with this St. John's Bay men's big and tall short-sleeve t-shirt. Made from a soft cotton-jersey that's quick drying, this pullover v-neck tee has a regular, comfortable fit. Wear it with jeans and sneakers.
Features: Quick Dry
Closure Type: Pullover Head
Fit: Regular Fit
Neckline: V Neck
Sleeve Length: Short Sleeve
Fiber Content: 60% Cotton, 40% Polyester
Fabric Description: Jersey
Care: Tumble Dry, Machine Wash
Country of Origin: Imported","""Galapagos Grn Sdh"" , ""Miami Blue"" , ""Cancun Coral Sdh"" , ""Blue Coral Sdh"" , ""Aqua Ceramic Sdh"" , ""Rapture Rose"" "
St. John's Bay Big and Tall Mens Crew Neck Short Sleeve Pocket T-Shirt,$16.99,"This St. John's Bay men's big and tall short-sleeve t-shirt makes casual style effortless. Made from a soft cotton-jersey blend, this pullover crew neck tee has a chest pocket and a classic, comfortable fit. Wear it with jeans and sneakers.
Features: Quick Dry
Closure Type: Pullover Head
Fit: Regular Fit
Neckline: Crew Neck
Pockets: 1 Chest Slip Pocket
Sleeve Length: Short Sleeve
Fiber Content: 60% Cotton, 40% Polyester
Fabric Description: Jersey
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""Galapagos Grn Sdh"" , ""Blue Songbird"" , ""Cancun Coral Sdh"" , ""Blue Coral Sdh"" , ""Aqua Ceramic Sdh"" , ""Rapture Rose"" "
Arizona Mens Advance Flex 360 Skinny Fit Jean,$29.99,"Deemed a Gotta-Have-It item for value you can count on every day! The Arizona Advance Flex 360 men's jeans are designed to move with your everyday lifestyle. This go-to pair is crafted from soft denim with recycled fabric- so you can look good while doing good for the earth. Their cut in a skinny-fit that's slim through the hip with the right amount of stretch for all-day comfort, and they feature classic button-zip fly and 5-pocket tailoring- perfect for your essentials.
Features: Stretch Fabric, Cuffed
Closure Type: Button & Zipper
Pockets: 2 Back Slip Pockets, 1 Front Coin Pocket, 2 Front Slip Pockets
Rise: At Waist
Fiber Content: 73% Cotton, 21% Repreve Recycled Polyester, 5% Rayon, 1% Spandex
Fabric Description: Denim","""Black Vintage"" , ""3d Rinse"" , ""Md Crackle Tint"" , ""Black Rinse"" "
St. John's Bay Premium Stretch Mens Slim Fit Short Sleeve Polo Shirt,$24,"Deemed a Gotta-Have-It item for value you can count on every day! You'll appreciate this St. John's Bay men's short-sleeve polo shirt for everyday wear. Made from a premium stretch cotton-pique blend with recycled fabric, this slim-fit style will pair perfectly with jeans or chinos.
Features: Tag Free, Quick Dry, Stretch Fabric, Moisture Wicking, Easy Care
Closure Type: Pullover Head, Button
Fit: Slim Fit
Neckline: Collar Neck
Sleeve Length: Short Sleeve
Apparel Length: 29 Inches
Fiber Content: 58% Cotton, 39% Recycled Polyester, 3% Spandex
Fabric Description: Pique
Collar: Spread Collar
Care: Tumble Dry, Machine Wash","""Pink Melon"" , ""Black"" , ""White"" , ""Signature Navy"" , ""Red"" , ""Charcoal Heather"" , ""Runway Blue"" , ""Miami Blue"" , ""Dark Ivy"" , ""Royal Magenta"" , ""Arctic Sky"" , ""Pink Moon"" , ""Coastal Gray"" , ""Mint Swirl"" , ""Rapture Rose"" , ""Purple Crocus"" , ""Blue Coral"" , ""Yellow Anise Flwr"" , ""Tanager Turquoise"" , ""Peach"" , ""Aqua Ceramic Htr"" , ""True Navy Htr"" , ""Light Jadestone"" , ""Madrid Purple"" , <li class=""pAB7b ZJnQ-"" data-automation-id=""list-item-24""><button type=""button"" class=""LmXbm _3x83p wDz7z yJB3x PI6hD xMnR5 GW-hU d4AAW Qlzj1 jzWX1 EN8V4 iTEh- pNS1l sZu02""><span>+5</span></button></li>"
J. Ferrar Ultra Comfort Stretch Slim Fit Suit Jacket,$149.99,"Sometimes, you have to bend the rules. That’s why you’ll love the stretch technology woven into these suited essentials. As you move throughout your day, the stretch fabric and lining of the jacket help you maneuver effortlessly from meeting to meeting. The trousers feature an Adjustek™ stretch waistband that can expand up to 2"", so even in the most high-pressure settings, you’ll stay relaxed and comfortable.
 Front Style: Single Breasted
Features: Stretch Fabric, Interior Pockets, Lined
Closure Type: Button
Fit: Slim Fit
Pockets: 2 Inside Slip Pockets, 1 Chest Slip Pocket, 2 Front Flap Pockets, 1 Inside Button Pocket
Sleeve Length: Long Sleeve
Sleeve Style: Fitted Sleeve","""Medium Gray"" "
J. Ferrar Mens Slim Slim Pant,$50,"J. Ferrar designed these men's pants in a classic-fit with a flat front and slim legs for a sleek tailored look. They are made from woven stretch fabric with recycled material and wrinkle-resistant technology. And they have a hook-and-eye zip fly and multiple pockets for your small essentials. Wear them with a button-down shirt and oxfords or a t-shirt with sneakers.
Front Style: Flat Front
Features: Wrinkle Resistant, Stretch Fabric
Closure Type: Zipper, Hook & Eye
Fit: Classic Fit
Pockets: 2 Back Button Pockets, 2 Side Slip Pockets
Rise: At Waist
Fiber Content: 44% Polyester, 30% Recycled Polyester, 19% Rayon, 7% Spandex
Fabric Description: Woven","""Cool Gray"" "
New!mutual weave Big and Tall Mens Classic Fit Short Sleeve Checked Button-Down Shirt,$44,"Closure Type: Button
Fit: Classic Fit
Neckline: Collar Neck
Sleeve Length: Short Sleeve
Fiber Content: 97% Cotton, 3% Spandex
Fabric Description: Poplin, Woven
Collar: Point Collar
Care: Tumble Dry, Machine Wash
Country of Origin: Imported","""Blue Brown Check"" , ""Teal Orange Plaid"" , ""Olive Bark Plaid"" , ""Blue Shadow Plaid"" , ""Laguna Teal Eoe"" , ""Brown Multi Check"" "
Xersion Xtreme Mens Crew Neck Short Sleeve T-Shirt Big and Tall,$25,"You'll feel great during workouts and warm weather days with this Xersion men's big and tall short-sleeve t-shirt. Crafted from 100% cotton with moisture-wicking properties to help you stay fresh, this pullover crew-neck style pairs well with all your favorite active shorts or pants.
Features: Moisture Wicking
Closure Type: Pullover Head
Fit: Regular Fit
Neckline: Crew Neck
Sleeve Length: Short Sleeve
Apparel Length: 29 Inches
Fiber Content: 100% Cotton
Fabric Description: Jersey
Care: Machine Wash
Material: Cotton","""Signature Navy"" , ""Black"" , ""Gray Heather"" , ""Cabaret Red"" , ""White"" , ""Burgundy Passion"" , ""Strong Blue"" , ""Evergreen"" "
Dockers Signature Iron Free Khaki With Stain Defender Mens Classic Fit Flat Front Pant,$49.99,"We call them our signature for a reason. Our signature khakis are the pants you know us for, with iron free technology, added stretch and a flex comfort waistband™ so you look and feel good at all times. We made this pair with our new stain defender — a more sustainable, pfc-free way to protect from stains — and finished it off with our suite of water<less® techniques.
Front Style: Flat Front
Features: Stain Resistant, Stretch Fabric, Comfort Waistband, Non-Iron
Closure Type: Button & Zipper
Fit: Classic Fit
Pockets: 2 Back Button Pockets, 2 Side Slip Pockets
Rise: At Waist
Fiber Content: 98% Cotton, 2% Elastane
Fabric Description: Twill","""New British Khaki"" , ""Beautiful Black"" , ""Navy Blazer"" , ""Cloud"" , ""Dark Pebble"" , ""Steelhead"" "
Gold Toe Athletic Sport Bonus Pack 8 Pair Quarter Socks Mens,$22,"These soft, breathable athletic quarter socks from Gold Toe feature reinforced toe and cushioned footbed for long-lasting comfort and durability.
Package Includes 6 Pairs + 2 Bonus Packs
Cushioned Foot to Absorb Shock
Reinforced Toe For Better Fit, Comfort and Wear
Black: Cotton/Nylon/Spandex
White: Cotton/Polyester/Nylon/Spandex
Sock Size 10-13 Fits Shoe Sizes 6-12½
# Pieces In Set: 8 Pair
Features: Cuffed, Cushioned, Stretch Fabric, Moisture Wicking, Bonus Packs
Shoe Size Range: 6-12 1/2
Fiber Content: 82% Cotton, 17% Nylon, 1% Spandex
Fabric Description: Yarn Dyed Knit","""White"" , ""Black"" "
Stafford Birdseye Signature Coolmax Mens Stretch Fabric Classic Fit Suit Pants,$120,"This men's Coolmax suit pants from Stafford Signature blend style and performance. Designed to wear throughout the seasons, these partially-lined pants are tailored for a classic-fit from a stretch-wool blend with recycled fabric and feature a hook-and-eye with zip closure, belt loops, and pockets at the side and back. Pair it with the matching suit jacket for a complete look.
Front Style: Flat Front
Features: Fly Front, Stretch Fabric, Adjustable Waist, Lined
Closure Type: Button W/Hook&eye, Zipper
Fit: Classic Fit
Pockets: 2 Back Button Pockets, 2 Side Slip Pockets
Rise: At Waist
Fiber Content: 51% Wool, 27% Polyester, 20% Recycled Polyester, 2% Lycra Spandex
Fabric Description: Twill","""Blue Birdseye"" "
Arizona Mens Advance Flex 360 Bootcut Jean,$29.99,"Ecom exclusive
Features: Fly Front, Stretch Fabric
Closure Type: Button & Zipper
Pockets: 2 Back Slip Pockets, 2 Front Slip Pockets, 1 Front Coin Pocket
Rise: At Waist
Fiber Content: 71% Cotton, 19% Polyester, 8% Rayon, 2% Spandex
Fabric Description: Denim
Care: Machine Wash, Tumble Dry
Jean Style: Straight Leg Jeans, Bootcut Jeans
Country of Origin: Imported","""Dark Whisker"" "
Arizona Mens Short Sleeve T-Shirt,$9.99,"Deemed a Gotta-Have-It item for value you can count on every day! Your basics like this men's crew neck t-shirt from Arizona are essential for your everyday wardrobe. It's made from soft cotton-jersey with recycled fabric in a regular fit for comfortable everyday wear. Style it with everything from jeans to cargo pants.
Closure Type: Pullover Head
Fit: Regular Fit
Neckline: Crew Neck
Sleeve Length: Short Sleeve
Apparel Length: 28.5 Inches
Fiber Content: 60% Cotton, 40% Recycled Polyester
Fabric Description: Jersey
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""Deep Jadestone"" , ""Rose Quartz"" , ""Zurich Blue"" , ""China Blue"" , ""Tennessee Sage"" , ""French Bread"" , ""White"" , ""Black"" "
J. Ferrar Mens Stretch Fabric Slim Fit Suit Jacket,$149.99,"J. Ferrar's smart suiting is always made with your lifestyle in mind. This men's suit jacket is made from soft twill with a touch of stretch for added comfort and mobility. It has sharp notched lapels and fastens with two horn-like buttons. And it's cut for a slim fit that will layer neatly.
Front Style: Single Breasted
Features: Stretch Fabric, Lined
Closure Type: Button
Fit: Slim Fit
Pockets: 1 Chest Slip Pocket, 2 Front Flap Pockets, 1 Inside Button Pocket
Sleeve Length: Long Sleeve
Fiber Content: 76% Polyester, 21% Viscose, 3% Elastane
Fabric Description: Twill
Lining: Lined","""New Navy"" "
J. Ferrar Mens 360 Stretch Regular Fit Easy Care Stretch Fabric Long Sleeve Dress Shirt,$60,"Tailor your day in style, starting at the top with this men's button-down long-sleeve dress shirt from J. Ferrar. Cut for a regular-fit, it's made from a comfortable stretch woven fabric with antimicrobial technology, a spread collar, and button cuffs. Wear it with tailored pants and loafers.
Features: Antimicrobial, Stretch Fabric, Easy Care
Closure Type: Button
Fit: Regular Fit
Neckline: Collar Neck
Sleeve Length: Long Sleeve
Sleeve Style: Cuffed Sleeve
Apparel Length: 35.5 Inches - Back
Fiber Content: 90% Polyester, 10% Spandex
Fabric Description: Woven
Collar: Spread Collar","""Rich Burgundy"" , ""White"" , ""Black"" , ""Blue Depths"" , ""Microchip"" , ""Dark Green"" , ""Pine"" "
