Title,Actual Price,Description,Available Colors
Collection By Michael Strahan Mens Modern Fit Suit Jacket,$199.99,"Made from a soft, stretch wool-blend with wrinkle-resistant technology, this men's suit jacket from Collection by Michael Strahan is tailored to keep you comfortable and sharp. It's cut for a modern-fit in a single-breasted design, with peak lapels, multiple pockets, and long sleeves. Wear it with suit pants for a tailored look.
Front Style: Single Breasted
Features: Wrinkle Resistant, Lined
Closure Type: Button
Fit: Modern Fit
Pockets: 1 Inside Slip Pocket, 1 Chest Slip Pocket, 2 Front Slip Pockets
Sleeve Length: Long Sleeve
Fiber Content: 52% Wool, 46% Polyester, 2% Spandex
Fabric Description: Woven
Lining: Lined","""Black"" "
Arizona Big and Tall Advance Flex 360 Mens Straight Leg Jean,$39.99,"Made with Arizona's Advance Flex 360 technology, this pair of men's big and tall jeans is made from stretch-cotton denim with recycled fabric and has a button-zip fly, 5-pocket tailoring, and straight legs.
Features: Fly Front, Stretch Fabric
Closure Type: Button & Zipper
Pockets: 1 Front Coin Pocket, 2 Back Slip Pockets, 2 Front Slip Pockets
Rise: Mid Rise
Fiber Content: 83% Cotton, 15% Repreve Recycled Polyester, 2% Spandex
Fabric Description: Denim
Inseam: 32 In, 30 In
Care: Tumble Dry, Machine Wash
Jean Style: Straight Leg Jeans
Country of Origin: Imported","""Smoked Indigo"" "
Gold Toe Fluffies 3 Pair Crew Socks Mens,$20,"Gold Toe Fluffies men's socks are heavier gauge that are perfect for weekend and business casual. Reinforced heel/toe for long-lasting comfort
Flattened toe seams provide smooth fit in shoes
Well-rounded heels give gentle support
Crew length ends 4 to 5"" above the ankle
Acrylic/stretch nylon wicks away moisture
Sock size 10-13 fits shoe sizes 6-12½ 
# Pieces In Set: 3 Pair
Features: Reinforced Heel Support, Cuffed, Stretch Fabric, Cushioned, Reinforced Toe & Heel
Shoe Size Range: 6-12 1/2
Fiber Content: 76% Acrylic, 24% Nylon
Fabric Description: Knit
Care: Tumble Dry, Machine Wash","""Brown"" , ""Khaki Brown Black"" , ""Gray Black"" , ""Navy"" , ""Black"" "
Stafford Super Soft Jersey Mens Pajama Pants,$29.99,"Relax and sleep in comfort in these Stafford men's pajama pants. They're crafted from a super soft cotton-jersey and feature a drawstring waist and two side slip pockets.
Features: Stretch Fabric
Closure Type: Drawstring
Pockets: 2 Side Slip Pockets
Fiber Content: 95% Cotton, 5% Spandex
Fabric Description: Jersey
Inseam: 31 In
Care: Tumble Dry, Machine Wash
Country of Origin: Imported
For child’s safety, garment should fit snugly. This garment is not flame resistant. Loose-fitting garment is more likely to catch fire.","""Olive Plaid"" , ""Sage Shadow Neat"" , ""Black"" , ""Navy Heather"" , ""Seagull"" "
Hanes Mens Heavyweight Beefy-T Long Sleeve Henley,$28,"Beefy-T - The Hanes Beefy-T shirt. For over 40 years, it has set the standard for the t-shirt comfort and quality, Today it's better than ever—more durable, and with even less shrinkage.
Features: Box Set, Tag Free
Closure Type: Pullover Head, Button
Fit: Regular Fit
Neckline: Henley Neck
Sleeve Length: Long Sleeve
Sleeve Style: Drop-Shoulder Sleeve
Fiber Content: 100% Cotton
Fabric Description: Jersey
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""Burnt Brick"" , ""Dark Truffle"" , ""Ebony"" , ""Navy Heather"" , ""Pebblestone"" , ""Petro Teal"" , ""Camouflage"" , ""Slate Heather"" , ""Mulled Berry"" "
Levi's® Mens 559™ Eco Ease Relaxed Straight Fit Jeans - Stretch,$59.99,"Like if ""laid-back"" were jeans. This low-rise loose fit embodies that relaxed and versatile attitude, and comes with extra room through the thigh and a timeless straight leg.
Levis Style: 559
Features: Fly Front, Stretch Fabric
Closure Type: Button & Zipper
Pockets: 2 Front Slip Pockets, 2 Back Slip Pockets, 1 Front Coin Pocket
Rise: Mid Rise
Fiber Content: 99% Cotton, 1% Elastane
Fabric Description: Denim
Inseam: 32 In, 34 In, 30 In, 36 In
Care: Machine Wash, Dry Flat
Jean Style: Relaxed Fit Jeans, Straight Leg Jeans
Country of Origin: Imported","""Nail Loop Knot"" , ""Fremont Cafe"" , ""Here I Stop"" , ""Ocean Blues"" "
New!Van Heusen Comfort Performance Mens Slim Fit Stretch Fabric Wrinkle Free Long Sleeve Dress Shirt,$44.99,"Features: Stretch Fabric, Quick Dry, Wrinkle Free
Closure Type: Button
Fit: Slim Fit
Neckline: Collar Neck
Sleeve Length: Long Sleeve
Sleeve Style: Cuffed Sleeve
Fiber Content: 50% Tencel Lyocell, 46% Polyester, 4% Elastane
Fabric Description: Broadcloth
Collar: Point Collar
Care: Machine Wash
Country of Origin: Imported","""Cloud Grey"" , ""Concrete"" , ""Soft Blue"" , ""White"" "
IZOD Performance Comfort Mens Classic Fit Long Sleeve Plaid Button-Down Shirt,$34.99,"This classic fit, long sleeve, button down shirt is cut from an easy-to-wear fabric with added stretch, so it keeps its shape and moves with you throughout the day. The cotton-blend is machine washable for easy care and since it’s made from recycled materials, it’s also easy on our planet. 
Features: Stretch Fabric
Closure Type: Button
Fit: Classic Fit
Neckline: Collar Neck
Pockets: 1 Chest Slip Pocket
Sleeve Length: Long Sleeve
Fiber Content: 60% Cotton, 40% Recycled Polyester
Fabric Description: Woven
Collar: Button Down Collar
Care: Tumble Dry, Machine Wash","""Cornflower Blue"" , ""Bachelor Button Pl"" , ""Faded Rose Plaid"" , ""Beveled Glass"" , ""Sundress"" , ""Bachelor Button"" , ""Faded Rose"" , ""Fairy Tale"" "
Mens Short Sleeve Golden Girls Graphic T-Shirt,$15.99,"Don this Golden Girls men's graphic t-shirt for a fun casual style boost. Made from soft cotton-jersey for a regular-fit, this crew-neck tee has short sleeves and a front graphic design. Style it with joggers or jeans.
Closure Type: Pullover Head
Fit: Regular Fit
Neckline: Crew Neck
Sleeve Length: Short Sleeve
Apparel Length: 29 Inches
Fiber Content: 60% Cotton, 40% Polyester
Fabric Description: Jersey
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""Purple"" "
IZOD Mens Big and Tall Stretch Fabric Chino Short,$39.99,"Take on weekends at the shore in a classic T-shirt. The crew neck essential is cut from saltwater washed fabric for a soft, broken-in style you'll live in.
Front Style: Flat Front
Features: Fly Front, Stretch Fabric
Closure Type: Zipper, Button
Fit: Classic Fit
Pockets: 2 Back Button Pockets, 2 Side Slip Pockets
Rise: At Waist
Short Length: Mid Length
Fiber Content: 98% Cotton, 2% Spandex
Fabric Description: Chino
Inseam: 12 In
Care: Machine Wash
Country of Origin: Imported","""Pale Khaki"" , ""Cinderblock"" , ""Saltwater Red"" , ""Bijou Blue"" "
