Title,Actual Price,Description,Available Colors
Vintage Leather Mens Midweight,$250,"Crafted with care: 100% Handmade & Imported, Premium quality: Made from High-quality leather hides, Functional style: Equipped with full-size zippers and 2 side hand pockets, Durability matters: Premium Stitching Throughout guarantees lasting wear, Comfort in every detail: 100% Polyester quilted Lining
Features: Interior Pockets
Closure Type: Zipper
Pockets: 2 Side Slip Pockets, 1 Inside Multi-Function Pocket
Sleeve Length: Long Sleeve
Warmth Factor: Midweight
Apparel Length: 28 Inches
Outerwear Length: Short
Fiber Content: 100% Leather
Fabric Description: Leather
Filling Content: 100% Polyester","""Black"" , ""Brown"" "
"Lee® 11"" Men's Extreme Motion Carolina Stretch Cargo Short",$49,"Front Style: Flat Front
Features: Stretch Fabric, Expandable Waist
Closure Type: Button
Fit: Relaxed Fit
Pockets: 2 Back Slip Pockets, 2 Cargo Side Pockets, 2 Front Slip Pockets
Rise: At Waist
Short Length: Mid Length
Fiber Content: 98% Cotton, 2% Spandex
Fabric Description: Twill
Inseam: 11 In
Care: Tumble Dry, Machine Wash
Country of Origin: Imported","""Bourbon"" , ""Buff"" "
J.M. Haggar™ Mens Grid Stretch Fabric Classic Fit Suit Jacket,$220,"Made from a soft, stretch-knit, this men's suit jacket by J.M. Haggar� is tailored to keep you comfortable and sharp. It's cut for a classic-fit in a single-breasted design, with peak lapels, multiple pockets, long sleeves, and button closure. Wear it with suit pants for a tailored look.
Front Style: Single Breasted
Features: Stretch Fabric
Closure Type: Button
Fit: Classic Fit
Pockets: 2 Front Flap Pockets, 1 Inside Slip Pocket, 1 Chest Slip Pocket
Sleeve Length: Long Sleeve
Fiber Content: 69% Polyester, 29% Viscose, 2% Elastane
Fabric Description: Woven
Lining: Lined
Lining Material: Polyester","""Navy"" "
PUMA Mens Drawstring Waist Swim Trunks,$32.99,"94% recycled polyester / 6% spandex; moisture wicking properties and stretch that help keep you dry and comfortable; built-in inner mesh brief for higher comfort; 16” outseam; back patch pocket; mesh pockets design to drain water and drain quickly; exterior drawcord; archive logo screenprint; fabric engineered to repell water and stay dry; long-lasting chlorine resistant fabric helps maintain shape and color; block the burn with all day sun protection.
Features: Moisture Wicking, Stretch Fabric, Drawstring Waist, Mesh Lining, Uv Protection, Water Resistant
Closure Type: Full Elastic, Drawstring
Pockets: 2 Side Slip Pockets, 1 Back Patch Pocket
Fiber Content: 94% Recycled Polyester, 6% Spandex
Fabric Description: Woven
Lining Material: Mesh
Inseam: 5 1/2 In","""Electric Peppermnt"" , ""Puma Black"" "
St. John's Bay Premium Stretch Heather Mens Slim Fit Short Sleeve Polo Shirt,$24,"This St John's Bay men's polo shirt will be a new favorite in your rotation. Made from a recycled stretch-cotton pique, this short-sleeve style has a classic two-button closure and a spread collar. Wear it with chinos and boat shoes.
Closure Type: Pullover Head, Button
Fit: Slim Fit
Neckline: Collar Neck
Sleeve Length: Short Sleeve
Apparel Length: 29 Inches
Fiber Content: 58% Cotton, 39% Recycled Polyester, 3% Spandex
Fabric Description: Pique
Collar: Spread Collar
Care: Machine Wash
Country of Origin: Imported","""Cadmium Green Htr"" "
Levi's® Men's Western Fit Cowboy Jeans - Stretch,$59.99,"So Lonesome is made with Water<Less production
Features: Fly Front, Stretch Fabric
Closure Type: Button
Pockets: 2 Back Slip Pockets, 2 Front Slip Pockets
Rise: Mid Rise
Fiber Content: 74% Cotton, 13% Polyester, 12% Polyamide, 1% Elastane
Fabric Description: Denim
Inseam: 36 In, 38 In, 29 In, 34 In, 32 In, 30 In
Care: Machine Wash, Dry Flat
Jean Style: Regular Fit Jeans, Straight Leg Jeans
Country of Origin: Imported","""On That Mountain"" , ""Mountain Rain"" "
New!Hanes Moves 6 Inch Mens Moisture Wicking Running Short,$26,"Crafted with soft, peached interlock fabric, these men's performance shorts feel as good as they look. 4-way stretch means these shorts move right along with you – no matter which way you’re going. Plus, moisture-wicking technology keeps you cool and comfortable throughout the day.
Front Style: Flat Front
Features: Moisture Wicking
Closure Type: Full Elastic
Fit: Regular Fit
Pockets: 2 Side Slip Pockets
Rise: Mid Rise
Short Length: Short Length
Fiber Content: 75% Polyester, 25% Spandex
Fabric Description: Jersey
Inseam: 6 In","""Black"" , ""Blue Dive"" "
J. Ferrar Ultra Comfort Mens Big and Tall Classic Fit Suit Pants,$110,"Whether you're heading to a business meeting or a social outing, this J. Ferrar men's classic-fit suit pants from the brand's big and tall collection will keep you looking stylish and polished. The flat front pants are elevated by side and back pockets and button-zip fly with a hook-and-eye closure. Wear it with the matching suit jacket for a monochromatic look.
Front Style: Flat Front
Closure Type: Button W/Hook&eye, Zipper
Fit: Classic Fit
Pockets: 2 Back Button Pockets, 2 Side Slip Pockets
Rise: At Waist
Fiber Content: 65% Polyester, 33% Viscose, 2% Spandex
Lining: Lined
Inseam: 34 In
Care: Dry Clean Only","""Cool Gray"" "
PUMA Big and Tall Mens Crew Neck Short Sleeve Graphic T-Shirt,$18.75,"Features: Quick Dry
Closure Type: Pullover Head
Fit: Athletic Fit
Neckline: Crew Neck
Sleeve Length: Short Sleeve
Apparel Length: 34 Inches
Fiber Content: 100% Polyester
Fabric Description: Knit
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""Cool Dark Gray"" , ""Puma Black"" , ""Puma Navy"" , ""For All Time Red"" "
Wrangler® Mens Denim Jacket,$82,"Layer up in style with this men's denim jacket from Wrangler�. This lightweight style is made from comfortable stretch-cotton with recycled fabric and has front pockets with a full button closure. Pair it with jeans and a t-shirt underneath.
Features: Stretch Fabric
Closure Type: Button
Pockets: 2 Chest Button Pockets, 2 Side Slip Pockets
Sleeve Length: Long Sleeve
Warmth Factor: Lightweight
Outerwear Length: Short
Fiber Content: 72% Cotton, 27% Recycled Polyester, 1% Spandex
Fabric Description: Denim
Coat Style: Denim Jackets
Collar: Spread Collar
Care: Machine Wash, Tumble Dry","""Vintage Indigo"" , ""Black Denim"" "
