Title,Actual Price,Description,Available Colors
Shaquille O'Neal XLG Black Mens Big and Tall Stretch Fabric Classic Fit Suit Jacket,$179.99,"This blazer from Shaquille O'Neal's XLG Black men's big and tall collection is tailored from a smooth woven fabric with stretch for added comfort. Its single-breast design has a classic 2-button closure, a chest welt pocket, side flap pockets, and inner slip pockets. Complement this jacket with straight-leg pants or pair it with jeans for casual appeal.
Front Style: Single Breasted
Features: Stretch Fabric
Closure Type: Button
Fit: Classic Fit
Pockets: 2 Front Flap Pockets, 2 Inside Slip Pockets, 1 Chest Slip Pocket
Sleeve Length: Long Sleeve
Fiber Content: 69% Polyester, 29% Viscose, 2% Elastane
Fabric Description: Woven
Lining: Lined","""Grey Charcoal"" "
Hanes Ultimate Bonus Pack 13 Pair Low Cut Socks Mens,$19.50,"COMFORT THAT'S MADE TO LAST Experience the ultimate in comfort with these soft and durable men's low cut socks from the Hanes Ultimate collection. A cushioned foot bottom delivers a comfortable fit, while the stretch fabrication allows you to move with ease. You'll appreciate the smooth comfort toe seam and moisture-wicking and odor-control technologies that keep you feeling fresh and cool throughout the day. Hitting right at the ankle, these men's socks are available in a perfect 12+1 Bonus Pack - giving you 13 pairs for the price of 12.
# Pieces In Set: 13 Pair
Features: Cuffed, Cushioned, Reinforced Heel Support, Stretch Fabric, Bonus Packs, Moisture Wicking, Multi-Pack, Reinforced Toe & Heel
Shoe Size Range: 6-12
Fiber Content: 46% Cotton, 45% Polyester, 7% Rayon, 1% Nylon, 1% Spandex","""White"" , ""Black"" "
Gold Toe Metropolitan 3 Pair Over the Calf Socks Mens,$21,"Gold Toe metropolitan over-the-calf socks offer great quality at a low price.
Reinforced heel & toe for durability
Soft yarns for all day comfort
Spandex for perfect fit
Sock size 10-13 fits shoe size 6-12½
Reinforced toe for longer wear
 # Pieces In Set: 3 Pair
Features: Reinforced Heel Support, Cuffed, Stretch Fabric, Moisture Wicking, Reinforced Toe & Heel
Shoe Size Range: 6-12 1/2
Fiber Content: 99% Nylon, 1% Spandex
Fabric Description: Knit
Care: Tumble Dry, Machine Wash","""Black"" , ""Brown"" , ""Navy"" "
Hanes Big Mens 4 Pack Boxer Briefs,$42,"Sized and scaled for you, Hanes Ultimate® Big Man Boxer Briefs feature a comfortable full-coverage fit with pinch-free leg openings and secured support. The ultra-soft Comfort Flex® waistband will not bind or pinch your skin, allowing for ease of movement. Made with Hanes Cool Comfort® fabric, this breathable men’s underwear features moisture-wicking technology so you’ll stay cooler and drier – no matter how hard you go. A smooth Tagless® interior adds an extra touch of comfort to Big & Tall boxer briefs that are designed with your ultimate comfort in mind. Available in a convenient 4-pack, so you can always keep a fresh pair of Hanes underwear on hand.
# Pieces In Set: 4-Pack
Features: Breathable, Moisture Wicking, Multi-Pack, Tag Free, Cooling, Fly Front
Fiber Content: 75% Cotton, 25% Polyester
Fabric Description: Jersey","""Black"" "
New!Xersion EverAir Mens Short Sleeve Polo Shirt,$19.99,"This Xersion EverAir men's two-tone polo shirt is both stylish and high performing making it a must-have for your collection. It's crafted from a recycled fabric that's quick drying and moisture wicking. It also features a regular-fit, a point collar with buttons, and short fitted sleeves.
Features: Dri Fit, Moisture Wicking, Quick Dry
Closure Type: Pullover Head, Button
Fit: Regular Fit
Neckline: Collar Neck
Sleeve Length: Short Sleeve
Sleeve Style: Fitted Sleeve
Apparel Length: 28.5 Inches
Fiber Content: 56% Polyester, 44% Recycled Polyester
Fabric Description: Mesh
Collar: Point Collar
Care: Machine Wash, Tumble Dry","""Ivory Vapor"" , ""Blackgray Heather"" "
Jockey Active Stretch Mens 3 Pack Boxer Briefs,$36,"# Pieces In Set: 3-Pack
Features: Multi-Pack, Tag Free, Stretch Fabric, Flat Seams
Fiber Content: 95% Cotton, 5% Spandex
Fabric Description: Knit
Care: Machine Wash
Material: Cotton
Country of Origin: Imported","""Navy Gray"" "
Shaquille O'Neal XLG Big and Tall Mens Regular Fit Short Sleeve Button-Down Shirt,$34.99,"Crafted from a soft, woven stretch fabric, this button-down shirt from the Shaquille O'Neal XLG big and tall collection is easy to style with jeans or chinos. It's cut for a regular-fit with a spread collar, flap-button chest pockets, and short sleeves.
Features: Stretch Fabric
Closure Type: Button
Fit: Regular Fit
Neckline: Collar Neck
Sleeve Length: Short Sleeve
Fiber Content: 57% Cotton, 40% Polyester, 3% Spandex
Fabric Description: Woven
Collar: Spread Collar
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""White"" , ""Black"" "
Van Heusen Traveler Slim Fit Mens Flat Front Pant,$70,"So fresh and so clean. Van heusen’s traveler pant is made with anti-microbial technology that helps eliminate odor-causing bacteria. Designed for the modern man on the go, these easy-care, stylish trousers withstand the elements to keep you looking (and smelling) fresh.
Front Style: Flat Front
Features: Stretch Fabric
Closure Type: Button W/Hook&eye, Zipper
Fit: Slim Fit
Pockets: 2 Back Button Pockets
Rise: At Waist
Fiber Content: 100% Polyester
Fabric Description: Melange
Lining: Unlined
Inseam: 29 In","""Black"" , ""Charcoal"" , ""Taupe"" , ""Ash Navy"" "
Van Heusen Big and Tall Mens Classic Fit Wrinkle Free Short Sleeve Dress Shirt,$34.99,"Features: Wrinkle Resistant, Wrinkle Free
Closure Type: Button
Fit: Classic Fit
Neckline: Collar Neck
Pockets: 1 Chest Slip Pocket
Sleeve Length: Short Sleeve
Fiber Content: 55% Cotton, 45% Recycled Polyester
Fabric Description: Broadcloth
Collar: Point Collar
Care: Dry Flat, Machine Wash
Country of Origin: Imported","""Grape"" , ""Gray Sky Multi"" , ""Grey Sky Multi"" "
Stylus Mens Regular Fit Jogger Pant,$44.99,"This pair of men's joggers from Stylus will easily become your go-to pants for off-duty days. Cut for a regular-fit, this pair of casual pants are made from a woven stretch fabric with a drawstring-elastic waistband, side and back pockets, and elastic cuffs with partial zip closures. Wear them with your favorite sneakers.
Front Style: Flat Front
Features: Exposed Zipper, Stretch Fabric, Cuffed, Drawstring Waist
Closure Type: Drawstring
Fit: Regular Fit
Pockets: 2 Side Slip Pockets, 1 Back Zip Pocket
Rise: Mid Rise
Base Material: 94% Nylon, 6% Spandex
Fiber Content: 94% Nylon, 6% Spandex
Fabric Description: Plain Weave
Inseam: 29 1/2 In","""Black"" , ""Charcoal Smoke"" , ""Midnight Olive"" , ""Moonless Night"" , ""Rose Taupe"" "
Stafford Mens Slim Slim Fit Sport Coat,$80,"This Stafford men's sport coat is a stylish upgrade for your next evens. Cut for a slim-fit from a woven stretch-jacquard, this lined coat has multiple pockets, sharp notch lapels, and a two-button closure. Pair it with suit pants and a dress shirt.
Front Style: Single Breasted
Features: Stretch Fabric
Closure Type: Open Front, Button
Fit: Slim Fit
Pockets: 2 Front Flap Pockets, 1 Inside Button Pocket, 1 Chest Slip Pocket
Sleeve Length: Long Sleeve
Apparel Length: 29.5 Inches
Fiber Content: 66% Polyester, 22% Rayon, 10% Nylon, 2% Spandex
Fabric Description: Jacquard
Lining: Partially Lined","""Gray"" "
Haggar® Men’s Smart Wash® With Repreve® Suit Separate Jacket,$200,"Smart wash™ makes it easy to elevate your style without the hassle of dry cleaning. We’ve re-imagined how suits and blazers are constructed by using innovative fabrics designed for home washer & dryer machines that make caring for your garments as easy as 1,2,3.
Front Style: Single Breasted
Features: Stretch Fabric
Closure Type: Button
Fit: Classic Fit
Pockets: 2 Front Flap Pockets, 1 Inside Slip Pocket, 1 Chest Slip Pocket
Sleeve Length: Long Sleeve
Fiber Content: 78% Polyester, 22% Recycled Polyester
Fabric Description: Woven
Lining: Partially Lined
Lining Material: Polyester","""Navy"" , ""Black"" , ""Charcoal"" "
Fruit of the Loom Big Mens 3 Pack Boxer Briefs,$34,"Our Fruit of the Loom® big men’s collection is made specifically to fit the true big man. We took our classic cotton boxer briefs and added a breathable mesh fly, to keep you cool where you need it most. The mesh fly provides ventilation and support. These are designed for a fuller midsection and have extra room in waist and seat. With legs that stay in place and strategically placed breathable mesh, our CoolZone® boxer briefs will keep you cool and comfortable all day. Each pair wicks moisture and is designed to keep you dry and fresh.
# Pieces In Set: 3-Pack
Features: Odor Resistant, Moisture Wicking, Multi-Pack, Tag Free, Cooling
Fiber Content: 100% Cotton
Fabric Description: Rib
Care: Tumble Dry, Machine Wash
Material: Cotton","""Black Gray Black"" "
Xersion Quick Dry 10 Pair Quarter Socks Mens,$15,"This 10-pack of high-performing quick-dry Xersion men's quarter socks have you covered no matter what your day entails. They're made from a stretchy knit cotton-blend for a cuffed style and provide arch support, cushion, and wick away moisture.
# Pieces In Set: 10 Pair
Features: Cuffed, Arch Support, Cushioned, Stretch Fabric, Moisture Wicking
Shoe Size Range: 6-12
Fiber Content: 74% Cotton, 24% Polyester, 2% Spandex
Fabric Description: Knit
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""Black"" , ""White"" , ""Gray"" "
Arizona Mens Relaxed Fit Jean,$29.99,"Express your everyday style with this pair of Arizona men's black straight-leg jeans. Crafted from a soft stretch-denim, this pair is cut for a relaxed-fit with a button-zip fly and 5-pocket tailoring. Wear day to night with your favorite t-shirt or shirt and blazer.
Features: Fly Front, Stretch Fabric
Closure Type: Button & Zipper
Pockets: 2 Front Slip Pockets, 2 Back Slip Pockets, 1 Front Coin Pocket
Rise: At Waist
Fiber Content: 65% Cotton, 27% Repreve Recycled Polyester, 5% Recycled Cotton, 2% Other 5% Or Less, 1% Spandex
Fabric Description: Denim
Care: Machine Wash, Tumble Dry
Jean Style: Relaxed Fit Jeans, Straight Leg Jeans
Country of Origin: Imported","""Black"" "
