Title,Actual Price,Description,Available Colors
Arizona Mens Ribbed Tank Top,$9.99,"Strap Type: Tank
Features: Racerback
Closure Type: Pullover Head
Fit: Regular Fit
Neckline: Round Neck
Sleeve Length: Sleeveless
Apparel Length: 28.5 Inches
Fiber Content: 100% Cotton
Fabric Description: Rib
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""Black"" , ""White"" , ""Dark Java"" "
"mutual weave 9"" Pull On Canvas Mens Drawstring Waist Stretch Fabric Deck Short",$24.99,"These mutual weave men's deck shorts are perfect for effortless warm-weather wear. Made from a breezy linen-cotton blend, this pair of shorts have an elastic-drawstring waist and multiple pockets - style them with a polo, button-down, or tee for your next boating or social event.
Front Style: Flat Front
Features: Adjustable Waist, Stretch Fabric, Drawstring Waist
Closure Type: Full Elastic, Drawstring
Fit: Regular Fit
Pockets: 2 Back Button Pockets, 2 Front Slip Pockets
Rise: At Waist
Short Length: Short Length
Fiber Content: 56% Cotton, 43% Linen, 1% Spandex
Fabric Description: Linen
Inseam: 9 In","""Java Chambray"" , ""Denim Chambray"" "
adidas Mens Big and Tall Mid Rise Workout Shorts,$26.25,"Front Style: Flat Front
Features: Adjustable Waist
Closure Type: Drawstring
Fit: Regular Fit
Pockets: 2 Front Slip Pockets
Rise: Mid Rise
Short Length: Mid Length
Fiber Content: 70% Cotton, 30% Recycled Polyester
Fabric Description: Jersey
Inseam: 7 In
Care: Machine Wash, Dry Flat
Country of Origin: Imported","""Wonder Blue"" "
adidas Mens Workout Shorts,$30,"Take on your toughest workouts in the adidas workout logo knitted shorts designed to keep you dry and comfortable. Equipped with moisture-managing AEROREADY technology, these lightweight shorts have a relaxed fit that allows for unrestricted movement. The small adidas logo adds a subtle touch of sporty flair.
Front Style: Flat Front
Features: Adjustable Waist
Closure Type: Drawstring, Full Elastic
Fit: Regular Fit
Pockets: 2 Side Zip Pockets
Rise: At Waist
Short Length: Mid Length
Fiber Content: 89% Recycled Polyester, 11% Elastane
Fabric Description: Knit
Inseam: 7 In","""Charcoal Black"" , ""Black White"" , ""Ivy Black"" "
Van Heusen Mens Regular Fit Stretch Fabric Wrinkle Free Long Sleeve Dress Shirt,$44.99,"Deemed a Gotta-Have-It item for value you can count on every day!
Features: Wrinkle Resistant, Stretch Fabric, Wrinkle Free, Stretch Collar
Closure Type: Button
Fit: Regular Fit
Neckline: Collar Neck
Pockets: 1 Chest Slip Pocket
Sleeve Length: Long Sleeve
Sleeve Style: Cuffed Sleeve
Fiber Content: 61% Cotton, 34% Recycled Polyester, 5% Elastane
Fabric Description: Broadcloth
Collar: Spread Collar
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""Aqua Water"" "
Stafford Signature Smart Wool Mens Big and Tall Stretch Fabric Classic Fit Suit Pants,$140,"Front Style: Flat Front
Features: Fly Front, Stretch Fabric, Lined, Adjustable Waist
Closure Type: Zipper, Button W/Hook&eye
Fit: Classic Fit
Pockets: 2 Back Button Pockets, 2 Side Slip Pockets
Rise: At Waist
Fiber Content: 51% Wool, 47% Polyester, 2% Spandex
Fabric Description: Woven
Lining: Partially Lined
Lining Material: Polyester
Leg Style: Straight Leg
Care: Tumble Dry, Machine Wash
Material: Wool Blend
Country of Origin: Imported","""Black"" "
IZOD Luxury Performance Hybrid Mens Stretch Fabric Hybrid Short,$29.99,"Our easy-to-wear saltwater hybrid performance shorts are created for comfortable movement yet tailored for a smooth fit. Crafted from a lightweight 4-way stretch fabric that’s both breathable and quick-drying, these classic fit shorts have an 9. 5” inseam and flat front styling. Added bonus is upf-50 sun protection for all day warm weather wear.
Front Style: Flat Front
Features: Fly Front, Breathable, Quick Dry, Stretch Fabric, Piped, Uv Protection
Closure Type: Zipper, Button
Fit: Classic Fit
Pockets: 2 Front Slip Pockets, 1 Back Slip Pocket
Rise: At Waist
Short Length: Mid Length
Fiber Content: 92% Polyester, 8% Elastane","""True Blue"" , ""Smoked Pearl"" , ""Navy Blazer"" "
Haggar® Men's Smart Wash® Classic Fit Dress Shirt,$44.99,"Discover our smart wash classic fit dress shirt, the ultimate blend of contemporary ease and comfort. Engineered with stretch fabric for unmatched flexibility and an impeccable fit, this shirt is a game-changer. Featuring cutting-edge moisture control technology, this dress shirt ensures a sharp appearance and lasting freshness throughout the day. Embrace our commitment to sustainability with the use of 50% recycled polyester, 38% polyester, 12% elastane, contributing to a comfortable, classic fit and 50% recycled fibers. Enjoy 4-way performance stretch, non-iron convenience, and the practicality of being machine washable. Elevate your style further with an adjustable button cuff, removable collar stays, and the sophisticated touch of a French placket, all reinforcing our commitment to innovation and eco-conscious fashion.
Features: Stretch Fabric, Easy Care
Closure Type: Button","""Black Grey Check"" , ""White Solid"" , ""Blue Solid"" , ""Blue Graph Check"" , ""Black Solid"" "
IZOD Madras Mens Classic Fit Short Sleeve Plaid Button-Down Shirt,$34.99,"Features: Easy Care
Closure Type: Button
Fit: Classic Fit
Neckline: Collar Neck
Pockets: 1 Chest Slip Pocket
Sleeve Length: Short Sleeve
Fiber Content: 55% Linen, 45% Polyester
Fabric Description: Woven
Collar: Point Collar
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""Cornflower Blue"" , ""Rapture Rose"" , ""Twilight Blue"" , ""Florida Keys"" "
Stafford Linen Cotton Mens Classic Fit Sport Coat,$89.99,"This Stafford men's big and tall sport coat is the perfect style for warm-weather functions. Cut for a classic-fit from a linen-cotton blend, this lined single-breasted style has multiple pockets, sharp notch lapels, and a two-button closure. Pair it with suit pants and a dress shirt.
Front Style: Single Breasted
Closure Type: Button
Fit: Classic Fit
Pockets: 1 Inside Button Pocket, 1 Chest Slip Pocket, 2 Front Slip Pockets
Sleeve Length: Long Sleeve
Sleeve Style: Fitted Sleeve
Fiber Content: 55% Linen, 45% Cotton
Fabric Description: Linen
Lining: Lined
Lining Material: Polyester","""Lt Blue Hb"" "
Stafford Coolmax All Season Ecomade Mens Stretch Fabric Classic Fit Suit Pants,$110,"Constructed with Stafford's Coolmax technology, this pair of men's classic-fit suit pants will keep you cool and comfortable throughout the seasons. This pair of timeless tailored straight-leg pants is made from a moisture-wicking stretch wool-blend and features a pleated front, an adjustable waist, multiple pockets, and a button with a hook-and-eye and zip closure. Wear them with the matching suit jacket for a complete look.
Front Style: Pleated Front
Features: Fly Front, Stretch Fabric, Adjustable Waist, Lined
Closure Type: Zipper, Button W/Hook&eye
Fit: Classic Fit
Pockets: 2 Back Button Pockets, 2 Side Slip Pockets
Rise: At Waist
Fiber Content: 51% Wool, 47% Polyester, 2% Lycra Spandex
Fabric Description: Woven","""Navy"" "
OppoSuits Men's Licensed Novelty Suit & Tie Set,$119.99,"RETRO COSTUMES: The little yellow man with the big mouth finally has his own suit. Take a bow for the one and only true king of arcade gaming: PAC-MAN' an instant OppoSuits classic!
# Pieces In Set: 3
Included: 1 Tie(s)
1st Piece Description: Blazer
1st Piece Collar: Notch Collar
1st Piece Front Style: Single Breasted
1st Piece Pockets: 4 Front Flap Pocket(s)
1st Piece Fabric: Woven
1st Piece Fiber Content: 100% Polyester
1st Piece Lining Material: Polyester
1st Piece Care: Machine Wash
2nd Piece Description: Pants
2nd Piece Closure Type: Button","""Pac Man"" , ""Super Mario"" , ""Pokemon"" , ""Smiley Drip"" , ""Batman"" , ""Harry Potter"" , ""South Park"" "
Stafford Mens Short Sleeve Wrinkle Free Oxford Button Down Collar Dress Shirt,$29.99,"Features: Wrinkle Resistant, Stretch Fabric, Wrinkle Free
Closure Type: Button
Fit: Regular Fit
Neckline: Collar Neck
Pockets: 1 Chest Slip Pocket
Sleeve Length: Short Sleeve
Fiber Content: 60% Cotton, 40% Polyester
Fabric Description: Oxford
Collar: Button Down Collar
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""Ecru"" "
Stafford Mens Plaid Classic Fit Suit Jacket,$220,"Front Style: Single Breasted
Closure Type: Button
Fit: Classic Fit
Pockets: 1 Chest Slip Pocket, 1 Inside Button Pocket, 2 Front Flap Pockets, 1 Inside Slip Pocket
Sleeve Length: Long Sleeve
Apparel Length: 29 Inches
Fiber Content: 51% Wool, 27% Polyester, 20% Recycled Polyester, 2% Spandex
Fabric Description: Woven
Lining: Lined
Lining Material: Polyester
Collar: Notch Lapel
Care: Dry Clean Only
Material: Polyester Blend
Country of Origin: Imported","""Md Blue Plaid"" "
Hanes® 3–pk. Cotton Boxer Briefs–Big & Tall,$40,"Hanes Cotton boxer briefs are made with super soft, premium cotton. They also feature a tagless waistband for plush, all-day comfort.
# Pieces In Set: 3-Pack
Features: Tag Free, Multi-Pack, Comfort Waistband
Fiber Content: 100% Cotton
Fabric Description: Knit
Care: Machine Wash, Tumble Dry
Material: Cotton
Country of Origin: Imported","""Black/gray"" "
Shaquille O’Neal XLG Mens Blue Stretch Regular Fit Suit Jacket-Big and Tall,$179.99,"This suit jacket from Shaquille O'Neal's XLG men's big and tall collection is tailored from woven fabric with stretch for added comfort. Its single-breasted design has a classic 2-button closure, a chest pocket, front flap pockets, and inner slip pockets. Wear yours as a full suit with matching trousers, or pair it with jeans for casual appeal.
Front Style: Single Breasted
Features: Stretch Fabric
Closure Type: Button
Fit: Regular Fit
Pockets: 2 Inside Slip Pockets, 1 Chest Slip Pocket, 2 Front Flap Pockets
Sleeve Length: Long Sleeve
Fiber Content: 75% Polyester, 22% Viscose, 3% Elastane
Fabric Description: Woven
Lining: Lined","""Blue"" "
