Title,Actual Price,Description,Available Colors
IZOD Mens Pajama Pants,$21,"Features: Button Fly
Closure Type: Drawstring, Full Elastic
Pockets: 2 Side Slip Pockets
Apparel Length: 43 Inches
Fiber Content: 100% Cotton
Fabric Description: Woven
Inseam: 30 1/2 In
Care: Tumble Dry, Machine Wash
Country of Origin: Imported
For child’s safety, garment should fit snugly. This garment is not flame resistant. Loose-fitting garment is more likely to catch fire.","""Navy Flamingo"" , ""Green Navy White"" , ""Blue Pink Plaid"" "
mutual weave Big and Tall Mens Straight Leg Jean,$39.99,"Your search for the perfect pair of jeans ends with the Mutual Weave Straight Denim for Men. Thanks to its comfortable, lightweight fabric, this pair of stretch jeans will end up being one of the best things in your closet. Dress up or down with a graphic T-shirt or shirt and a matching denim jacket. This men's straight-leg jeans has multiple pockets to hold your phone and wallet.
Features: Stretch Fabric, Cuffed
Closure Type: Button & Zipper
Pockets: 1 Front Coin Pocket, 2 Front Slip Pockets, 2 Back Slip Pockets
Rise: Mid Rise
Fiber Content: 99% Cotton, 1% Spandex
Fabric Description: Denim
Inseam: 36 In
Care: Machine Wash, Tumble Dry","""Rinse"" , ""Clean Dk"" , ""Clean Md Ii"" , ""Ombre Blue"" "
St. John's Bay Chambray Mens Slim Fit Flat Front Pant,$34.99,"Designed with timeless style and all-day comfort in mind, this pair of St. John's Bay chambray men's slim-fit flat front pants is perfect for workdays and weekends. It's made with durable yet comfortable cotton chino fabric in a mid-rise with a button-zip fly, side and back pockets, and straight legs.
Front Style: Flat Front
Features: Fly Front
Closure Type: Button, Zipper
Fit: Slim Fit
Pockets: 2 Back Button Pockets, 2 Side Slip Pockets
Rise: Mid Rise
Fiber Content: 100% Cotton
Fabric Description: Chambray
Inseam: 30 In, 32 In, 34 In
Leg Style: Straight Leg","""Khaki Chambray"" , ""Navy Chambray"" "
Xersion Mens Big and Tall Workout Shorts,$21.60,"Get prepped for your next workout in style with these Xersion men's big and tall shorts. Made from soft mesh, these mid-length shorts have side pockets and a comfortable elastic-waist. Wear them with a tank top or t-shirt.
Front Style: Flat Front
Closure Type: Full Elastic
Fit: Regular Fit
Pockets: 2 Side Slip Pockets
Rise: At Waist
Short Length: Mid Length
Fiber Content: 100% Polyester
Fabric Description: Mesh
Inseam: 11 In
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""Highland Gray"" , ""Black"" , ""Signature Navy"" , ""Cabaret Red"" "
St. John's Bay Premium Print Mens Slim Fit Short Sleeve Polo Shirt,$17.99,"From St. John's Bay, this men's printed short-sleeve polo shirt features a bold all-over print that's easy to style with chino shorts, jeans or tailored pants. It's made from a stretch-cotton blend with recycled fabric that features moisture-wicking, quick-dry, and fade resistant technology to keep you cool and comfortable. This tag-free style has a contrast spread collar, a two-button placket, and a side slit hem.
Features: Piped, Moisture Wicking, Quick Dry, Tag Free, Stretch Fabric, Easy Care
Closure Type: Button, Pullover Head
Fit: Slim Fit
Neckline: Collar Neck
Sleeve Length: Short Sleeve
Apparel Length: 29 Inches
Fiber Content: 58% Cotton, 39% Recycled Polyester, 3% Spandex
Fabric Description: Pique","""Lavender Navy Palm"" , ""Navy Linear Leaf"" , ""Purple Sunfish"" , ""Navy Paisley"" "
adidas Mens Short Sleeve Jersey,$22.50,"This men's adidas t-shirt is made from a soft, breathable cotton-jersey with a crew neckline and the brand's iconic three stripes along the short sleeves. Wear it with everything from workout shorts to jeans.
Closure Type: Pullover Head
Fit: Regular Fit
Neckline: Crew Neck
Sleeve Length: Short Sleeve
Fiber Content: 100% Cotton
Fabric Description: Jersey
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""Better Scarlet"" , ""Black"" , ""Dark Grey Htr"" , ""White"" , ""Semi Lucid Blue"" , ""Wonder Beige"" , ""Preloved Crimson"" "
Xersion Mens Moisture Wicking Basketball Short,$14.99,"Hit the courts or lounge around in these comfortable Xersion men's basketball shorts. Made with smooth, quick-dry knit fabric, these shorts have contrast side panels, an elastic-drawstring waist, and two side slip pockets to hold any essentials. Team yours with a tank top.
Front Style: Flat Front
Features: Moisture Wicking, Quick Dry
Closure Type: Drawstring
Fit: Regular Fit
Pockets: 2 Side Slip Pockets
Rise: At Waist
Short Length: Mid Length
Fiber Content: 100% Polyester
Fabric Description: Mesh
Inseam: 9 In
Care: Tumble Dry, Machine Wash","""Cab Red Black"" , ""Black White"" , ""Highland Gray Monu"" , ""White Black"" , ""Sig Navy Strong Bl"" , ""Evergreen Mango"" "
Van Heusen Soft Solid Tie,$45,"The Van Heusen Soft Solid tie is designed to make you look your best. Made with the finest fabric to create a soft hand that you can wear all day. It comes in a variety of colors to match any dress shirt. Team up with a solid or patterned dress shirt to complete your dressy look.
Measurements: 58 Length/Inches, 3 Width/Inches
Base Material: 100% Polyester
Fabric Description: Woven
Lining Material: Polyester
Care: Dry Clean Only
Tie Width: Classic Width Tie
Country of Origin: Imported","""Lt Pink Soft Solid"" , ""Black Soft Solid"" , ""Navy Soft Solid"" , ""Red Ii Soft Solid"" , ""Charcoal Sft Solid"" , ""Pink Soft Solid"" , ""Plum Soft Solid"" , ""Hunter Soft Solid"" , ""Lt Beige Sft Solid"" , ""Orange Soft Solid"" , ""Md Blue Soft Solid"" , ""Lilac Soft Solid"" "
J. Ferrar Mens Stretch Fabric Super Slim Fit Suit Jacket,$149.99,"This navy suit jacket from J. Ferrar is tailored for a slim-fit from woven-blend with stretch for added comfort. Its single-breast design has a classic 2-button closure, a chest welt pocket, side flap pockets, and an inner slip pocket. Pair with the matching suit pants and a t-shirt for a twist on formalwear.
Front Style: Single Breasted
Features: Stretch Fabric, Lined
Closure Type: Button
Fit: Super Slim Fit
Pockets: 1 Chest Slip Pocket, 2 Front Flap Pockets, 1 Inside Button Pocket
Sleeve Length: Long Sleeve
Fiber Content: 76% Polyester, 21% Viscose, 3% Elastane
Fabric Description: Twill
Lining: Lined","""New Navy"" "
J.M Haggar® Mens 4 Way Stretch Slim Fit Suit Separate Jacket,$220,"J.M.Haggar suit separates offer exceptional style, quality, and flexibility for you and your wardrobe. Made from our finest fabric with stretch built right into the fibers. Wear it with or without the available matching dress pants.
Front Style: Single Breasted
Features: Stretch Fabric
Closure Type: Button
Fit: Slim Fit
Sleeve Length: Long Sleeve
Fiber Content: 67% Polyester, 28% Viscose, 5% Spandex
Fabric Description: Woven
Lining: Lined
Lining Material: Polyester
Collar: Notch Collar
Care: Dry Clean Only","""Black"" , ""Charcoal"" , ""Blue"" "
