Title,Actual Price,Description,Available Colors
Xersion Mens Short Sleeve Polo Shirt,$16.99,"Look smart on casual or active days with this Xersion men's polo shirt. Made from a soft stretch woven blend with quick-dry properties, this short-sleeve polo has a quarter-zip closure, a spread collar, and a chest pocket. Wear it with chino or cargo shorts.
Features: Quick Dry
Closure Type: Zipper, Pullover Head
Fit: Regular Fit
Neckline: Collar Neck
Pockets: 1 Chest Slip Pocket
Sleeve Length: Short Sleeve
Apparel Length: 28.5 Inches - Front
Fiber Content: 88% Polyester, 12% Spandex
Fabric Description: Plain Weave
Collar: Spread Collar
Care: Tumble Dry, Machine Wash","""Black"" , ""Black Texture"" , ""Highland Gray"" , ""Olive Bark"" "
Stylus Big and Tall Mens Regular Fit Short Sleeve Button-Down Shirt,$39.99,"Features: Stretch Fabric
Closure Type: Button
Fit: Regular Fit
Neckline: Collar Neck
Sleeve Length: Short Sleeve
Apparel Length: 28.5 Inches - Front
Fiber Content: 86% Polyester, 14% Spandex
Fabric Description: Plain Weave
Collar: Spread Collar
Care: Tumble Dry, Machine Wash
Country of Origin: Imported","""Black"" , ""Charcoal Smoke Sd"" "
mutual weave Big and Tall Mens Classic Fit Short Sleeve Checked Button-Down Shirt,$32.99,"This mutual weave men's big and tall checked short-sleeve shirt is a great addition to your rotation. Made from soft stretch-cotton, this button-down has a point collar and a chest pocket. Wear it with jeans and boots.
Closure Type: Button
Fit: Classic Fit
Neckline: Collar Neck
Pockets: 1 Chest Slip Pocket
Sleeve Length: Short Sleeve
Fiber Content: 97% Cotton, 3% Spandex
Fabric Description: Woven
Collar: Point Collar
Care: Tumble Dry, Machine Wash
Country of Origin: Imported","""Fire Coral Check"" , ""Steel Blue Plaid"" , ""Navy Multi Check"" "
mutual weave Mens Regular Fit Short Sleeve Button-Down Shirt,$27.99,"This mutual weave men's button-down is a smart style staple for social outings. Made from a woven stretch-cotton, this short-sleeve shirt has a point collar and a chest slip pocket - style it with pants or jeans.
Features: Stretch Fabric
Closure Type: Button
Fit: Regular Fit
Neckline: Collar Neck
Sleeve Length: Short Sleeve
Apparel Length: 33 Inches
Fiber Content: 97% Cotton, 3% Spandex
Fabric Description: Plain Weave
Collar: Point Collar
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""Fire Coral Eoe"" , ""Med Dark Wash Eoe"" "
"Lee Wyomimg 11.5"" Mens Cargo Short",$32.99,"The lee wyoming cargo comes in a regular fit in a 11 1/2"" inseam, features coordinating d-ring belt and extra storage pockets.
Front Style: Flat Front
Features: Fly Front
Closure Type: Button, Zipper
Fit: Regular Fit
Pockets: 2 Front Slip Pockets, 2 Cargo Side Pockets, 2 Back Flap Pockets
Rise: At Waist
Short Length: Mid Length
Fiber Content: 100% Cotton
Fabric Description: Twill
Inseam: 11 1/2 In
Care: Tumble Dry, Machine Wash
Country of Origin: Imported","""Blue Plaid"" "
adidas Mens Mid Rise Basketball Short,$26.25,"Cut to a mid-rise, these men's adidas basketball shorts are made from a breathable, soft, recycled fabric that goes beyond sport. They have an elastic-drawstring waist, side pockets, and three stripes. Wear them with a hoodie and sneakers for a casual look.
Front Style: Flat Front
Closure Type: Drawstring, Full Elastic
Fit: Regular Fit
Pockets: 2 Side Slip Pockets
Rise: Mid Rise
Short Length: Mid Length
Fiber Content: 100% Recycled Polyester
Fabric Description: Woven
Inseam: 9 In
Care: Tumble Dry, Machine Wash
Country of Origin: Imported","""Black"" , ""Black White"" , ""Legend Ink White"" , ""Metal Grey White"" "
Stafford Signature Coolmax Mens Big and Tall Stretch Fabric Classic Fit Suit Pants,$130,"This men's big and tall Coolmax suit pants from Stafford Signature blend style and performance. Designed to wear throughout the seasons, these partially-lined pants are tailored for a classic-fit from a stretch-wool blend with recycled fabric and feature an adjustable waist, a hook-and-eye with zip closure, belt loops, and multiple pockets. Pair it with the matching suit jacket for a complete look.
Front Style: Flat Front
Features: Fly Front, Stretch Fabric, Adjustable Waist, Lined
Closure Type: Button W/Hook&eye, Zipper
Fit: Classic Fit
Pockets: 2 Back Button Pockets, 2 Side Slip Pockets
Rise: At Waist
Fiber Content: 51% Wool, 27% Polyester, 20% Recycled Polyester, 2% Lycra Spandex
Fabric Description: Twill","""Blue Birdseye"" "
Ely Cattleman Plaid Big and Tall Mens Long Sleeve Western Shirt,$45,"You can easily wear this long-sleeve snap plaid shirt all year long, and it looks great layered over a white t-shirt! Complete the look with your favorite pair of jeans!
Arc Rating Type: Not_applicable
Features: Easy Care
Arc Thermal Performance Value (atpv): Not_applicable
Closure Type: Snap
Fit: Classic Fit
Neckline: Collar Neck
Pockets: 2 Chest Snap Pockets
Sleeve Length: Long Sleeve
Sleeve Style: Cuffed Sleeve
Fiber Content: 65% Polyester, 35% Cotton
Fabric Description: Woven
Collar: Spread Collar","""Navy Plaid"" , ""Black Plaid"" , ""Turquoise Plaid"" , ""Wine Plaid"" "
adidas Big and Tall Mens Long Sleeve Hoodie,$48.75,"This full-zip hoodie from the adidas men's collection is an off-duty and workout style essential. Made from soft cotton-fleece, this long-sleeve hooded sweatshirt features front slip pockets and the brand's signature stripes and logo. Style it with jogger pants or workout shorts.
Features: Hooded
Closure Type: Zipper
Fit: Regular Fit
Neckline: Hooded Neck
Pockets: 2 Front Slip Pockets
Sleeve Length: Long Sleeve
Apparel Length: 29 Inches
Fiber Content: 78% Cotton, 22% Polyester
Fabric Description: Fleece
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""Legend Ink"" , ""Black"" , ""Medium Grey Htr"" "
Arizona Big and Tall Mens Regular Fit Bootcut Jean,$39.99,"This pair of Arizona bootcut jeans from their men's big and tall collection will be your new go-to everyday style. Crafted from soft stretch-cotton, this pair of denim is cut for a regular-fit with a button-zip fly and 5-pocket tailoring style with your favorite t-shirt or button-down shirt.
Disclaimer: Fiber content may vary.
Fabric content for medium worn jeans is 83% cotton, 15% REPREVE® recycled polyester, and 2% elastane or 68% cotton, 20% polyester, 9% rayon, and 3% spandex.
Fabric content for light stonewash jeans is 83% cotton, 15% REPREVE® recycled polyester, and 2% elastane or 68% cotton, 20% polyester, 9% rayon, and 3% spandex.
Features: Fly Front
Closure Type: Button & Zipper
Pockets: 2 Front Slip Pockets, 2 Back Slip Pockets, 1 Front Coin Pocket","""Lt Stone Wash"" , ""Md Worn"" "
